OpenTime2,ClosePrice
2024-03-06 00:00:00,63734.00000000
2024-03-06 00:00:01,63724.34000000
2024-03-06 00:00:02,63724.33000000
2024-03-06 00:00:03,63711.39000000
2024-03-06 00:00:04,63699.35000000
2024-03-06 00:00:05,63692.01000000
2024-03-06 00:00:06,63702.19000000
2024-03-06 00:00:07,63702.19000000
2024-03-06 00:00:08,63718.79000000
2024-03-06 00:00:09,63718.79000000
2024-03-06 00:00:10,63734.82000000
2024-03-06 00:00:11,63749.99000000
2024-03-06 00:00:12,63726.01000000
2024-03-06 00:00:13,63723.59000000
2024-03-06 00:00:14,63727.42000000
2024-03-06 00:00:15,63741.09000000
2024-03-06 00:00:16,63741.10000000
2024-03-06 00:00:17,63741.09000000
2024-03-06 00:00:18,63741.03000000
2024-03-06 00:00:19,63749.99000000
2024-03-06 00:00:20,63749.99000000
2024-03-06 00:00:21,63749.99000000
2024-03-06 00:00:22,63756.36000000
2024-03-06 00:00:23,63756.36000000
2024-03-06 00:00:24,63754.00000000
2024-03-06 00:00:25,63765.21000000
2024-03-06 00:00:26,63769.52000000
2024-03-06 00:00:27,63770.00000000
2024-03-06 00:00:28,63774.79000000
2024-03-06 00:00:29,63779.98000000
2024-03-06 00:00:30,63781.85000000
2024-03-06 00:00:31,63778.01000000
2024-03-06 00:00:32,63774.67000000
2024-03-06 00:00:33,63774.68000000
2024-03-06 00:00:34,63760.50000000
2024-03-06 00:00:35,63760.50000000
2024-03-06 00:00:36,63760.51000000
2024-03-06 00:00:37,63772.00000000
2024-03-06 00:00:38,63787.38000000
2024-03-06 00:00:39,63776.02000000
2024-03-06 00:00:40,63789.21000000
2024-03-06 00:00:41,63789.22000000
2024-03-06 00:00:42,63800.00000000
2024-03-06 00:00:43,63791.82000000
2024-03-06 00:00:44,63791.81000000
2024-03-06 00:00:45,63798.22000000
2024-03-06 00:00:46,63798.22000000
2024-03-06 00:00:47,63804.59000000
2024-03-06 00:00:48,63803.28000000
2024-03-06 00:00:49,63803.28000000
2024-03-06 00:00:50,63803.28000000
2024-03-06 00:00:51,63803.28000000
2024-03-06 00:00:52,63803.28000000
2024-03-06 00:00:53,63803.28000000
2024-03-06 00:00:54,63803.28000000
2024-03-06 00:00:55,63803.28000000
2024-03-06 00:00:56,63803.28000000
2024-03-06 00:00:57,63803.28000000
2024-03-06 00:00:58,63809.98000000
2024-03-06 00:00:59,63809.98000000
2024-03-06 00:01:00,63791.80000000
2024-03-06 00:01:01,63776.02000000
2024-03-06 00:01:02,63743.48000000
2024-03-06 00:01:03,63721.10000000
2024-03-06 00:01:04,63711.58000000
2024-03-06 00:01:05,63737.86000000
2024-03-06 00:01:06,63749.17000000
2024-03-06 00:01:07,63756.59000000
2024-03-06 00:01:08,63759.60000000
2024-03-06 00:01:09,63743.47000000
2024-03-06 00:01:10,63733.46000000
2024-03-06 00:01:11,63733.45000000
2024-03-06 00:01:12,63737.97000000
2024-03-06 00:01:13,63749.96000000
2024-03-06 00:01:14,63728.01000000
2024-03-06 00:01:15,63728.00000000
2024-03-06 00:01:16,63724.28000000
2024-03-06 00:01:17,63724.28000000
2024-03-06 00:01:18,63734.00000000
2024-03-06 00:01:19,63740.00000000
2024-03-06 00:01:20,63757.71000000
2024-03-06 00:01:21,63775.19000000
2024-03-06 00:01:22,63828.01000000
2024-03-06 00:01:23,63816.38000000
2024-03-06 00:01:24,63782.28000000
2024-03-06 00:01:25,63781.10000000
2024-03-06 00:01:26,63781.11000000
2024-03-06 00:01:27,63788.00000000
2024-03-06 00:01:28,63765.53000000
2024-03-06 00:01:29,63761.11000000
2024-03-06 00:01:30,63768.64000000
2024-03-06 00:01:31,63779.99000000
2024-03-06 00:01:32,63780.00000000
2024-03-06 00:01:33,63796.59000000
2024-03-06 00:01:34,63780.00000000
2024-03-06 00:01:35,63781.99000000
2024-03-06 00:01:36,63792.00000000
2024-03-06 00:01:37,63792.00000000
2024-03-06 00:01:38,63798.62000000
2024-03-06 00:01:39,63815.66000000
2024-03-06 00:01:40,63806.00000000
2024-03-06 00:01:41,63806.01000000
2024-03-06 00:01:42,63797.10000000
2024-03-06 00:01:43,63797.09000000
2024-03-06 00:01:44,63784.00000000
2024-03-06 00:01:45,63770.01000000
2024-03-06 00:01:46,63761.10000000
2024-03-06 00:01:47,63751.91000000
2024-03-06 00:01:48,63762.49000000
2024-03-06 00:01:49,63774.73000000
2024-03-06 00:01:50,63774.72000000
2024-03-06 00:01:51,63774.72000000
2024-03-06 00:01:52,63768.30000000
2024-03-06 00:01:53,63757.91000000
2024-03-06 00:01:54,63755.98000000
2024-03-06 00:01:55,63755.98000000
2024-03-06 00:01:56,63755.99000000
